id,region,feature,ul_lat,ul_lon,lr_lat,lr_lon,tiles
H01,Himalayan,Everest-Lhotse massif,28.30,86.35,27.80,86.95,N27E086;N28E086
H02,Himalayan,Annapurna sanctuary,28.95,83.40,28.30,84.10,N28E083;N28E084
H03,Himalayan,Kangchenjunga saddle,27.95,88.00,27.35,88.70,N27E087;N27E088
H04,Himalayan,Baltoro glacier / K2,35.90,76.10,35.20,76.90,N35E076
H05,Himalayan,Nanga Parbat massif,35.70,74.40,34.90,75.10,N34E074;N34E075;N35E074;N35E075
H06,Himalayan,Bhutan high ridge,28.20,90.00,27.60,90.70,N27E089;N27E090;N28E089;N28E090
H07,Himalayan,Nyainqêntanglha range,30.60,91.00,29.90,91.70,N29E090;N29E091;N30E090;N30E091
A01,Andean,Cordillera Blanca,-8.90,-77.90,-9.60,-77.10,S10W078;S09W078
A02,Andean,Huayhuash knot,-9.70,-76.95,-10.30,-76.20,S11W077;S10W077
A03,Andean,Vilcabamba (Cusco),-12.60,-73.80,-13.20,-73.10,S14W074;S13W074
A04,Andean,Ausangate–Sibinacocha,-13.90,-71.40,-14.60,-70.60,S15W072;S15W071;S14W072;S14W071
A05,Andean,Lake Titicaca escarpment,-15.10,-69.60,-15.80,-68.80,S16W070;S16W069
A06,Andean,Nevado Sajama,-17.90,-69.30,-18.60,-68.50,S19W070;S19W069;S18W070;S18W069
A07,Andean,Potosí cordillera,-19.30,-66.40,-20.00,-65.60,S20W067;S20W066
A08,Andean,Atacama Domeyko,-23.00,-68.90,-23.70,-68.10,S24W069;S23W069
A09,Andean,Aconcagua,-32.40,-70.20,-33.10,-69.40,S34W071;S34W070;S33W071;S33W070
A10,Andean,Central Chilean Andes,-34.10,-70.60,-34.80,-69.80,S35W071;S35W070
A11,Andean,Northern Patagonia icefield,-46.40,-73.70,-47.10,-72.90,S48W074;S48W073;S47W074;S47W073
O01,Ancient,Great Smoky Mountains,35.90,-84.40,35.20,-83.60,N35W085;N35W084
O02,Ancient,Blue Ridge (Virginia),38.10,-79.80,37.40,-79.00,N37W080;N38W080
O03,Ancient,Scottish Cairngorms,57.30,-3.95,56.60,-3.10,N56W004;N57W004
# O04,Ancient,Scandinavian Jotunheimen,61.15,8.40,60.45,9.20,N60E008  # TODO: OpenTopography 500 error - retry later
O05,Ancient,Drakensberg high escarpment,-28.50,29.00,-29.20,29.80,S30E028;S30E029;S29E028;S29E029
# O06,Ancient,Middle Urals,60.90,57.60,60.20,58.40,N60E058  # TODO: OpenTopography 500 error - retry later
